Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,7,8,9]    		85917.229		NaN				79263.617
[0,1,7,8,10]   		85868.943		NaN				79263.617
[0,1,7,8,11]   		85160.679		NaN				79263.617
[0,1,7,8,12]   		84760.654		NaN				79263.617
[0,1,7,8,13]   		87349.874		NaN				79263.617
[0,1,7,8,14]   		87843.093		NaN				79263.617
[0,1,7,8,15]   		87265.018		NaN				79263.617
[0,1,7,8,16]   		84473.426		NaN				79263.617
[0,1,7,8,17]   		87683.956		NaN				79263.617
[0,1,7,8,18]   		84107.928		NaN				79263.617
[0,1,7,8,19]   		84550.296		NaN				79263.617
[0,1,7,9,10]   		85002.598		NaN				79263.617
[0,1,7,9,11]   		83743.396		NaN				79263.617
[0,1,7,9,12]   		83197.034		NaN				79263.617
[0,1,7,9,13]   		85070.727		NaN				79263.617
[0,1,7,9,14]   		85502.364		NaN				79263.617
[0,1,7,9,15]   		85438.005		NaN				79263.617
[0,1,7,9,16]   		83171.360		NaN				79263.617
[0,1,7,9,17]   		85460.918		NaN				79263.617
[0,1,7,9,18]   		82443.484		NaN				79263.617
[0,1,7,9,19]   		84523.710		NaN				79263.617
[0,1,7,10,11]  		84726.755		NaN				79263.617
[0,1,7,10,12]  		85084.370		NaN				79263.617
[0,1,7,10,13]  		86351.615		NaN				79263.617
[0,1,7,10,14]  		86719.158		NaN				79263.617
[0,1,7,10,15]  		86215.082		NaN				79263.617
[0,1,7,10,16]  		85233.179		NaN				79263.617
[0,1,7,10,17]  		86691.381		NaN				79263.617
[0,1,7,10,18]  		84396.182		NaN				79263.617
[0,1,7,10,19]  		83884.382		NaN				79263.617
[0,1,7,11,12]  		86718.088		NaN				79263.617
[0,1,7,11,13]  		90349.720		NaN				79263.617
[0,1,7,11,14]  		90492.062		NaN				79263.617
[0,1,7,11,15]  		89627.514		NaN				79263.617
[0,1,7,11,16]  		86230.533		NaN				79263.617
[0,1,7,11,17]  		90150.312		NaN				79263.617
[0,1,7,11,18]  		87503.570		NaN				79263.617
[0,1,7,11,19]  		82785.866		NaN				79263.617
[0,1,7,12,13]  		89429.557		NaN				79263.617
[0,1,7,12,14]  		89754.268		NaN				79263.617
[0,1,7,12,15]  		88618.926		NaN				79263.617
[0,1,7,12,16]  		87025.501		NaN				79263.617
[0,1,7,12,17]  		89258.552		NaN				79263.617
[0,1,7,12,18]  		88685.987		NaN				79263.617
[0,1,7,12,19]  		83095.658		NaN				79263.617
[0,1,7,13,14]  		94591.007		NaN				79263.617
[0,1,7,13,15]  		93501.703		NaN				79263.617
