Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,8,10,17]		92423.169		NaN				88389.526
[0,1,8,10,18]		97497.333		NaN				88389.526
[0,1,8,10,19]		107082.933		NaN				88389.526
[0,1,8,11,12]		90948.257		NaN				88389.526
[0,1,8,11,13]		93384.578		NaN				88389.526
[0,1,8,11,14]		93330.827		NaN				88389.526
[0,1,8,11,15]		92851.484		NaN				88389.526
[0,1,8,11,16]		90715.507		NaN				88389.526
[0,1,8,11,17]		90924.243		NaN				88389.526
[0,1,8,11,18]		90176.422		NaN				88389.526
[0,1,8,11,19]		89262.127		NaN				88389.526
[0,1,8,12,13]		94657.814		NaN				88389.526
[0,1,8,12,14]		101541.707		NaN				88389.526
[0,1,8,12,15]		99870.784		NaN				88389.526
[0,1,8,12,16]		98598.645		NaN				88389.526
[0,1,8,12,17]		89779.374		NaN				88389.526
[0,1,8,12,18]		101110.225		NaN				88389.526
[0,1,8,12,19]		95582.845		NaN				88389.526
[0,1,8,13,14]		99733.012		NaN				88389.526
[0,1,8,13,15]		99105.339		NaN				88389.526
[0,1,8,13,16]		94397.052		NaN				88389.526
[0,1,8,13,17]		95153.269		NaN				88389.526
[0,1,8,13,18]		93565.555		NaN				88389.526
[0,1,8,13,19]		93898.625		NaN				88389.526
[0,1,8,14,15]		115118.816		NaN				88389.526
[0,1,8,14,16]		101789.076		NaN				88389.526
[0,1,8,14,17]		94874.337		NaN				88389.526
[0,1,8,14,18]		99333.828		NaN				88389.526
[0,1,8,14,19]		106704.729		NaN				88389.526
[0,1,8,15,16]		100422.830		NaN				88389.526
[0,1,8,15,17]		94712.347		NaN				88389.526
[0,1,8,15,18]		98063.406		NaN				88389.526
[0,1,8,15,19]		106048.854		NaN				88389.526
[0,1,8,16,17]		89879.926		NaN				88389.526
[0,1,8,16,18]		97486.504		NaN				88389.526
[0,1,8,16,19]		97312.321		NaN				88389.526
[0,1,8,17,18]		88725.755		NaN				88389.526
[0,1,8,17,19]		89661.359		NaN				88389.526
[0,1,8,18,19]		93805.819		NaN				88389.526
[0,1,9,10,11]		90115.810		NaN				88389.526
[0,1,9,10,12]		97765.337		NaN				88389.526
[0,1,9,10,13]		95183.546		NaN				88389.526
[0,1,9,10,14]		108448.438		NaN				88389.526
[0,1,9,10,15]		106930.464		NaN				88389.526
[0,1,9,10,16]		99340.661		NaN				88389.526
[0,1,9,10,17]		90854.659		NaN				88389.526
[0,1,9,10,18]		95719.920		NaN				88389.526
[0,1,9,10,19]		106845.223		NaN				88389.526
[0,1,9,11,13]		90693.246		NaN				88389.526
[0,1,9,11,14]		90717.805		NaN				88389.526
[0,1,9,11,15]		90322.652		NaN				88389.526
[0,1,9,11,16]		88528.450		NaN				88389.526
